['Daniel Radcliffe' '31' '0']
['Julia Roberts' '20' '1']
['Ginnifer Goodwin' '13' '2']
['George Clooney' '13' '3']
['Sarah Michelle Gellar' '12' '4']
['Natalie Portman' '11' '0']
['Kristen Wiig' '10' '1']
['Kate Beckinsale' '9' '2']
['Scarlett Johansson' '8' '3']
['Hugh Grant' '8' '4']
['Rupert Grint' '8' '0']
['Kate Hudson' '8' '1']
['Charlie Ray' '8' '2']
['Luke Wilson' '8' '3']
['Emma Watson' '7' '4']
['Matt Damon' '7' '0']
['Ryan Reynolds' '6' '1']
['Cate Blanchett' '6' '2']
['Clive Owen' '6' '3']
['Naomi Watts' '6' '4']
['Michael Douglas' '5' '0']
['Bruce Campbell' '5' '1']
['RomeoFath' '5' '2']
['Jim Sturgess' '5' '3']
['Haley Bennett' '5' '4']
['Jack Black' '5' '0']
['Ellen Page' '5' '1']
['Justin Timberlake' '5' '2']
['Maya Rudolph' '5' '3']
['Meryl Streep' '4' '4']
['Michelle Pfeiffer' '4' '0']
['Elizabeth Banks' '4' '1']
['Jason Bateman' '4' '2']
['Rachelle Lefevre' '4' '3']
['KingsSpeech' '4' '4']
['Emily Browning' '4' '0']
['Kal Penn' '4' '1']
['Ryan Merriman' '4' '2']
['Josh Hutcherson' '4' '3']
['KaDee Strickland' '4' '4']
['Tom Cruise' '4' '0']
['Alan Rickman' '4' '1']
['Anne Hathaway' '4' '2']
['Ben Affleck' '4' '3']
['Kevin Spacey' '3' '4']
['Nicholas Hoult' '3' '0']
['Debra Winger' '3' '1']
['Don Cheadle' '3' '2']
['Mila Kunis' '3' '3']
['Elisha Cuthbert' '3' '4']
['Ann Dusenberry' '3' '0']
['Leonard Whiting' '3' '1']
['Matthew Lillard' '3' '2']
['Andy Garcia' '3' '3']
['Trevor Moore' '3' '4']
['Gina Holden' '3' '0']
['Gina Torres' '3' '1']
['John Cho' '3' '2']
['Johanna Braddy' '3' '3']
['Jessica Chastain' '3' '4']
['Jennifer Jason Leigh' '3' '0']
['David Dorfman' '3' '1']
['Jack Nicholson' '3' '2']
['Richard Gere' '3' '3']
['Ryo Ishibashi' '3' '4']
['Robert Pattinson' '3' '0']
['Shailene Woodley' '3' '1']
['Thomas Horn' '2' '2']
['Emily Hunt' '2' '3']
['Tom Hanks' '2' '4']
